entity,year,人力资本,财政支农,数字基建,创业活跃度,收入
省01,2012,1.2079445921445249,1.2584422252085379,1.1157161124181885,1.8401581469822916,1.2414428472451942
省01,2013,1.2028814851590997,1.4421196913071408,1.3164455575980036,2.0809747273657746,1.3285380543713716
省01,2014,1.6007696400672398,1.362611049749411,1.3060227842289753,2.5332431325779234,1.4448039948759754
省01,2015,1.3228207623028114,1.2070414960507754,1.6757978471010224,2.4478224701551703,1.534763758075213
省01,2016,1.7570931779589372,1.553745110067826,1.6231418383444978,2.9589133420846547,1.5792503163342393
省01,2017,1.7677026084419616,1.6369953383574634,1.6993589879894473,2.7366138004374165,1.5704336805968193
省01,2018,1.769712470077274,1.773612688415008,1.5967113526708954,3.2904823742571243,1.6293520607238905
省01,2019,1.6024890501393725,1.7428282719945893,2.064742539161832,3.414962307725944,1.6919426597706757
省01,2020,1.7205786225251838,1.729787083257144,2.0075694696549036,3.288031916545047,1.69287549085807
省01,2021,2.0908385035689707,1.888428755935062,2.208321986519925,4.215110440526761,1.813056058699224
省01,2022,1.7040826329642118,2.219626343062549,2.0072469684998127,3.8312873578727786,1.8579799975486129
省02,2012,0.8083037715419195,1.0126068267298614,0.9186573549602549,1.2776396674776405,0.9013262525358344
省02,2013,1.0470746216650044,0.9402008940440297,0.8310609875743036,1.3295533554275292,0.9779435229789011
省02,2014,1.2234000579514583,1.1355441760677152,0.9530646514350782,1.5745945448607008,0.9269503147389053
省02,2015,1.203991581477921,1.0854360770061497,1.0069452650173762,1.72341833112282,1.1836484695377452
省02,2016,1.143615004044016,1.025604733934189,1.073846426879563,1.7866200304362958,1.050652363309616
省02,2017,1.3946470522514791,1.3467555463425684,1.327687471264294,1.6862549157878084,1.1926168978766476
省02,2018,1.3198277048552647,1.3534088105104367,1.0646296685981236,1.958399690082813,1.2391560685860443
省02,2019,1.3300027907848384,1.2424752692083356,1.143638193889355,1.8318913023569627,1.281827944461776
省02,2020,1.206450380264919,1.6258286699947357,1.434595172201964,2.3350428421435665,1.431494046950438
省02,2021,1.169886836491773,1.7110801141539875,1.4356380055667541,2.2089743799429358,1.2512388458359711
省02,2022,1.494188732066416,1.4966215019130218,1.7652876277178975,2.27646629550003,1.433398767424094
省03,2012,1.2319633681465494,1.2670659159677835,1.3698321131103433,2.0430029548891158,1.2794348703088334
省03,2013,1.6280727956116643,1.668320432148591,1.2328808952120354,2.08054591376259,1.377560071982167
省03,2014,1.6264639246946442,1.3884772041527518,1.6186625547266345,2.2883414653989655,1.4116054116764558
省03,2015,1.3516062034270089,1.8699165600577077,1.4301430500018868,3.2498773993793937,1.7038220009844802
省03,2016,1.5976805212310186,1.906895043567906,1.8923811658331804,3.019856735508145,1.5531081629150691
省03,2017,1.6184668289842241,1.7768147198009003,1.5937737293076761,3.5557120750593216,1.626013225642266
省03,2018,1.5113469547676464,1.7997248834733328,2.211596758004431,3.3333833091932723,1.713794280250446
省03,2019,2.2307772097217082,2.2328253728866785,1.9437617340563371,4.187800127636489,1.847914225298136
省03,2020,2.140747453743866,1.909109100193404,1.6845585306628423,4.720468912353262,2.0065172272124814
省03,2021,2.457808114289889,1.8754600244597686,1.7765282990529736,4.6091016428143625,2.092827463231184
省03,2022,1.8948796098508174,2.260170274312743,2.4994393659763188,4.846735115504866,2.1757901375297375
省04,2012,1.330230302825912,1.4233479801916613,1.1977230181242695,1.7622446687078257,1.3097985750709342
省04,2013,1.1319607907549034,1.0822921252995876,1.3594045847314358,1.7160638792601344,1.244160998630371
省04,2014,1.445258618645813,1.3845648352055389,1.1800055843076396,1.9620751319170433,1.1530910638828185
省04,2015,1.547957926601721,1.2043837181427017,1.2002558356717141,2.3141677781026964,1.3502433581622033
省04,2016,1.3665208704220548,1.4779564828714473,1.581460523148365,2.4664186088633455,1.4759227698671775
省04,2017,1.8210774942784087,1.26074104952812,1.5909464707745518,2.7174905156490694,1.6037018849196243
省04,2018,1.3941491674406465,1.5757341586564415,1.9321091645564725,2.686177455090068,1.5707043064534698
省04,2019,1.9072599941056134,1.6780786640688263,1.8939316584525034,3.670259469742101,1.7665944081326748
省04,2020,2.005617479468054,1.982501063894969,1.5825892457251427,3.1390224220814433,1.7015636409703365
省04,2021,2.1151831863867594,1.9199964084304038,1.779461415957384,3.6590758293252357,1.7231703684924848
省04,2022,2.1974026278959813,1.880459310852235,1.722554385364947,3.8412175488467275,1.7259031813356387
省05,2012,0.6694165431977662,0.5003634184214909,0.4911609843517441,0.7458965680331583,0.49118354138572706
省05,2013,0.7116210264000309,0.5820453764168756,0.5401082190816705,0.7244150862778354,0.5944262987389896
省05,2014,0.6081729557967647,0.5732734763976792,0.5631253714290873,0.7987518173374162,0.7157820887613541
省05,2015,0.6098819152529805,0.5758744705984085,0.7266907094278857,0.8085091900707072,0.6642500505528237
省05,2016,0.6831397099974196,0.738113847585536,0.847298354623459,0.9501375776220403,0.7940300828907657
省05,2017,0.6740224085062979,0.6910920304153385,0.6949982749732947,0.8942245983487808,0.6849970421761341
省05,2018,0.6623854857007708,0.7672291780120037,0.8157589175832184,1.0800444362138444,0.8982989444519638
省05,2019,0.6925222195566456,0.9871128777231798,0.7084354322878642,1.1567349942921568,0.7131465018896535
省05,2020,1.0480728956621665,0.9856209813020842,0.9776895354637665,1.2945685516409076,0.9060433655673638
省05,2021,0.7812743831955519,0.9282344946717965,0.9202388746370602,1.3006504507461916,0.8657544983055913
省05,2022,0.9069863368112631,1.0037559706146013,0.8618759443694698,1.3244462480029484,1.008985379670927
省06,2012,1.4265663894927434,1.3177720423346997,1.3974213379079512,2.447317414895673,1.4458691851310528
省06,2013,1.4887447215278202,1.6803725943973353,1.437072640286233,2.7765077964383496,1.618509710314449
省06,2014,1.6400773224229244,1.5392302628813868,1.676122222651786,3.486083005872137,1.7271881543763483
省06,2015,1.9532413806392308,1.7640252356960364,1.833810672977438,3.690091871298705,1.8364804664756926
省06,2016,1.6119590527020278,1.9723461586086068,2.0937851354916823,3.706851005021461,1.714952916100085
省06,2017,1.607616459751757,2.091505990747129,1.5994808884762417,4.06205128786214,1.8501597412443447
